Neurons,Activation,Test Accuracy,Training Time (s)
256,relu,0.9576,420.4403967857361
256,sigmoid,0.9582,379.3983521461487
256,tanh,0.9477,366.1529517173767
128,relu,0.9547,370.7110388278961
128,sigmoid,0.9553,363.7836694717407
128,tanh,0.9421,359.07663011550903
64,relu,0.9514,367.29486060142517
64,sigmoid,0.9553,367.56268787384033
64,tanh,0.9422,357.16552472114563
